"customer_id","first_name","last_name","address","apt_number","state","city","zip_code","phone_number","email_address","membership_flag","country_id","campaign_id","sent_date","opened","clicked","converted","conversion_amount","unsubscribe","customer_campaign_id"
17850,Emma,Hall,"152 Queen Road",Apt 2A,Greater London,London,SW1A 1AA,+44 7010007919,emma.hall17850@example.com,"1",2,,,,,,,,
13047,Amelia,Anderson,"37 Bridge Lane",Apt 23D,Greater London,London,SW1A 1AA,+44 7010015838,amelia.anderson13047@example.com,"1",2,,,,,,,,
12583,Thomas,Reed,"900 Oak Avenue",Apt 11C,Île-de-France,Paris,"75011",+33 610023757,thomas.reed12583@example.com,"1",3,,,,,,,,
13748,Amelia,Scott,"399 Queen Way",Apt 20C,Greater Manchester,Manchester,M1 2AB,+44 7010031676,amelia.scott13748@example.com,"1",2,,,,,,,,
15100,Nathan,Turner,"954 Cedar Road",Apt 21C,Greater London,London,SW1A 1AA,+44 7010039595,nathan.turner15100@example.com,"1",2,,,,,,,,
15291,Henry,Wilson,"243 Victoria Road",Apt 4D,Merseyside,Liverpool,L1 8JQ,+44 7010047514,henry.wilson15291@example.com,"1",2,,,,,,,,
14688,Hannah,Baker,"373 High Drive",Apt 22A,West Midlands,Birmingham,B1 1AA,+44 7010055433,hannah.baker14688@example.com,"1",2,,,,,,,,
17809,Leo,Wright,"260 Church Court",Apt 21B,Merseyside,Liverpool,L1 8JQ,+44 7010063352,leo.wright17809@example.com,"1",2,,,,,,,,
15311,Elena,Taylor,"42 Park Terrace","",West Midlands,Birmingham,B1 1AA,+44 7010071271,elena.taylor15311@example.com,"1",2,,,,,,,,
14527,David,King,"521 Cedar Court","",Greater Manchester,Manchester,M1 2AB,+44 7010079190,david.king14527@example.com,"1",2,,,,,,,,
16098,Isabella,Morris,"774 Spring Terrace",Apt 13C,Greater Manchester,Manchester,M1 2AB,+44 7010087109,isabella.morris16098@example.com,"1",2,,,,,,,,
18074,William,Parker,"783 Maple Road","",Greater Manchester,Manchester,M1 2AB,+44 7010095028,william.parker18074@example.com,"1",2,,,,,,,,
17420,Sarah,Mitchell,"404 Cedar Court",Apt 18A,Greater Manchester,Manchester,M1 2AB,+44 7010102947,sarah.mitchell17420@example.com,"1",2,,,,,,,,
16029,Sarah,Edwards,"797 Park Road","",Greater London,London,SW1A 1AA,+44 7010110866,sarah.edwards16029@example.com,"0",2,,,,,,,,
16250,Hannah,Smith,"906 Market Avenue",Apt 4C,Greater Manchester,Manchester,M1 2AB,+44 7010118785,hannah.smith16250@example.com,"0",2,,,,,,,,
12431,Matthew,Cook,"392 Church Street",Apt 16A,Queensland,Brisbane,"4000",+61 410126704,matthew.cook12431@example.com,"1",4,,,,,,,,
17511,Sophie,Young,"256 Spring Road","",Greater London,London,SW1A 1AA,+44 7010134623,sophie.young17511@example.com,"1",2,,,,,,,,
17548,Noah,Edwards,"141 Garden Avenue","",West Yorkshire,Leeds,LS1 4DY,+44 7010142542,noah.edwards17548@example.com,"0",2,,,,,,,,
13705,Chloe,Miller,"783 High Drive",Apt 22C,Merseyside,Liverpool,L1 8JQ,+44 7010150461,chloe.miller13705@example.com,"0",2,,,,,,,,
13747,Eva,Perez,"240 King Way","",West Yorkshire,Leeds,LS1 4DY,+44 7010158380,eva.perez13747@example.com,"1",2,,,,,,,,
13408,Jack,Reed,"82 Maple Lane","",Merseyside,Liverpool,L1 8JQ,+44 7010166299,jack.reed13408@example.com,"1",2,,,,,,,,
13767,Emily,Wilson,"295 Garden Lane",Apt 24D,Greater London,London,SW1A 1AA,+44 7010174218,emily.wilson13767@example.com,"1",2,,,,,,,,
17924,Jacob,Carter,"109 Hill Way",Apt 15A,Greater Manchester,Manchester,M1 2AB,+44 7010182137,jacob.carter17924@example.com,"1",2,,,,,,,,
13448,Olivia,Nelson,"829 Queen Lane","",Greater London,London,SW1A 1AA,+44 7010190056,olivia.nelson13448@example.com,"0",2,,,,,,,,
15862,Thomas,Roberts,"295 Lake Lane",Apt 3D,Merseyside,Liverpool,L1 8JQ,+44 7010197975,thomas.roberts15862@example.com,"1",2,,,,,,,,
15513,Liam,Taylor,"563 Oak Road",Apt 8B,Merseyside,Liverpool,L1 8JQ,+44 7010205894,liam.taylor15513@example.com,"0",2,,,,,,,,
12791,Zoe,Phillips,"420 Maple Avenue",Apt 13C,South Holland,Rotterdam,"3011",+31 610213813,zoe.phillips12791@example.com,"1",5,,,,,,,,
16218,Ethan,Mitchell,"758 Bridge Court","",West Yorkshire,Leeds,LS1 4DY,+44 7010221732,ethan.mitchell16218@example.com,"0",2,,,,,,,,
14045,Amelia,Taylor,"565 Maple Way","",West Midlands,Birmingham,B1 1AA,+44 7010229651,amelia.taylor14045@example.com,"1",2,,,,,,,,
14307,Jacob,Parker,"553 Church Street",Apt 3B,Merseyside,Liverpool,L1 8JQ,+44 7010237570,jacob.parker14307@example.com,"0",2,,,,,,,,
17908,Joseph,Wilson,"250 Cedar Road",Apt 19B,Greater London,London,SW1A 1AA,+44 7010245489,joseph.wilson17908@example.com,"0",2,,,,,,,,
17920,Joseph,Brown,"439 Spring Way",Apt 7C,Merseyside,Liverpool,L1 8JQ,+44 7010253408,joseph.brown17920@example.com,"1",2,,,,,,,,
12838,James,Turner,"586 Queen Road",Apt 17C,Greater London,London,SW1A 1AA,+44 7010269246,james.turner12838@example.com,"1",2,,,,,,,,
13255,Samuel,Wilson,"388 Victoria Avenue",Apt 18C,Greater Manchester,Manchester,M1 2AB,+44 7010277165,samuel.wilson13255@example.com,"0",2,,,,,,,,
16583,Nora,Collins,"846 Bridge Drive",Apt 4B,Merseyside,Liverpool,L1 8JQ,+44 7010285084,nora.collins16583@example.com,"1",2,,,,,,,,
18085,Ava,Evans,"169 Market Drive",Apt 23C,West Midlands,Birmingham,B1 1AA,+44 7010293003,ava.evans18085@example.com,"0",2,,,,,,,,
